id,district,county,subcounty,location_id,code
88,luwero,katikamu,wobulenzi town council,894,K9KcRa82mDay
89,lwengo,bukoto,kisekka,896,Twqu4GsUZI6Q
90,lwengo,bukoto,kkingo,897,1fK8MrGTbfEo
91,lwengo,bukoto,kyazanga,898,mTPSZ2daS0Vd
92,lwengo,bukoto,kyazanga town council,899,PZYOv9kSaKXE
93,lwengo,bukoto,lwengo,900,EIv2IREsqz3G
94,lwengo,bukoto,lwengo town council,901,FiGeYNW6TK5h
95,lwengo,bukoto,malongo,902,XHA91fWcwM7F
96,lwengo,bukoto,ndagwe,903,tX8OdAD2yG8N
97,lyantonde,kabula,kaliiro,912,EdAsN9rMPhdg
98,lyantonde,kabula,kasagama,913,1t5i0sR2cFnu
99,lyantonde,kabula,kinuuka,914,ubW3TpDPzUPZ
100,lyantonde,kabula,lyantonde,915,qtk3S19xSzZG
101,lyantonde,kabula,lyantonde town council,916,hT421wiZSCfq
102,lyantonde,kabula,mpumudde,485,JdthtL1ThMN2
103,masaka,bukoto,bukakata,926,AB7jzwIaa2KK
104,masaka,bukoto,buwunga,927,jRHnEizydU5E
105,masaka,bukoto,kabonera,928,wptSaPja0lqG
106,masaka,bukoto,kyannamukaaka,931,vhwtjtaeXGGT
107,masaka,bukoto,kyesiiga,932,1N1En2Au2F4H
108,masaka,bukoto,mukungwe,933,tEmZkaBtAoTn
109,masaka,masaka mc,katwe/butego,929,j5LDdrEgMiiM
110,masaka,masaka mc,kimaanya/kyabakuza,930,Tu4E5Z3EpupB
111,masaka,masaka mc,nyendo-ssenyange,934,XKn7kPf6mK2S
112,mityana,busujju,banda,1028,vQRM9ntVMs9u
113,mityana,busujju,butayunja,1031,bG0xPnr4N0YD
114,mityana,busujju,kakindu,1032,T7qnKlXI7S0a
115,mityana,busujju,maanyi,1035,bJXvsPmRBhmK
116,mityana,busujju,malangala,1036,tcn5V9Pm9kTi
117,mityana,mityana,bulera,1029,gNG4lmhJmc1d
118,mityana,mityana,busimbi,1030,cSad0lg2Jh9F
119,mityana,mityana,kalangalo,1033,3n1WL3FgKhoP
120,mityana,mityana,kikandwa,1034,utNLN4IoQHcR
121,mityana,mityana,mityana town council,1037,7keOXf6cw8BY
122,mityana,mityana,namungo,1038,GE0WipCGuRkU
123,mityana,mityana,ssekanyonyi,1039,HjXxCB3asxep
124,mpigi,mawokota,buwama,1057,EE8a24qy60XA
125,mpigi,mawokota,kammengo,1058,9GMOlBwZTt9p
126,mpigi,mawokota,kiringente,1059,abCaVlez7cgH
127,mpigi,mawokota,kituntu,1060,y9OVLiRkvSoZ
128,mpigi,mawokota,mpigi town council,1061,x1SHl9ri5kUS
129,mpigi,mawokota,muduuma,1062,0Y2Hi3qtkXvX
130,mpigi,mawokota,nkozi,1063,shS7mBVbaz2n
